number,character,quote
1446,sh,"CHAPTER III



     I slept at Baker Street that night, and we were engaged upon our
     toast and coffee in the morning when the King of Bohemia rushed into
     the room."
1447,hp,"Eh bien, Mademoiselle. I am a very simple person. I always incline to the belief that the most likely person committed the crime. At the very beginning it seemed to me that one person was very clearly indicated."
1448,sh,"he answered, and, springing against it, he
     put all his weight upon the lock. It creaked and groaned, but did not
     yield. Together we flung ourselves upon it once more, and this time
     it gave way with a sudden snap, and we found ourselves within
     Bartholomew Sholto's chamber.

     It appeared to have been fitted up as a chemical laboratory. A double
     line of glass-stoppered bottles was drawn up upon the wall opposite
     the door, and the table was littered over with Bunsen burners,
     test-tubes, and retorts. In the corners stood carboys of acid in
     wicker baskets. One of these appeared to leak or to have been broken,
     for a stream of dark-colored liquid had trickled out from it, and the
     air was heavy with a peculiarly pungent, tar-like odor. A set of
     steps stood at one side of the room, in the midst of a litter of lath
     and plaster, and above them there was an opening in the ceiling large
     enough for a man to pass through. At the foot of the steps a long
     coil of rope was thrown carelessly together.

     By the table, in a wooden arm-chair, the master of the house was
     seated all in a heap, with his head sunk upon his left shoulder, and
     that ghastly, inscrutable smile upon his face. He was stiff and cold,
     and had clearly been dead many hours. It seemed to me that not only
     his features but all his limbs were twisted and turned in the most
     fantastic fashion. By his hand upon the table there lay a peculiar
     instrument,--a brown, close-grained stick, with a stone head like a
     hammer, rudely lashed on with coarse twine. Beside it was a torn
     sheet of note-paper with some words scrawled upon it. Holmes glanced
     at it, and then handed it to me."
1449,sh,"said he. There was a whisk of feminine
     skirts down the passage, and the hall door was opened and shut."
1450,hp,No stranger came to the house that day.
1451,hp,"We’ve warned Tell Kotchek and Abu Kemal—all the frontier posts, in fact."
1452,mm,"Sooner than let the girl go, you killed her. Because you loved her, you killed her."
1453,hp,"You’d learn a few go-ahead methods over there,"
1454,sh,"He held down the lamp to the floor, and as he did so I saw for the
     second time that night a startled, surprised look come over his face.
     For myself, as I followed his gaze my skin was cold under my clothes.
     The floor was covered thickly with the prints of a naked
     foot,--clear, well defined, perfectly formed, but scarce half the
     size of those of an ordinary man."
1455,mm,"One so often looks at a thing the wrong way round,"
1456,sh,"I understand you to say that there
     are three students who use this stair and are in the habit of passing
     your door?"
1457,mm,"Had the stones taken out of their setting and fastened here and there on her theatrical costume, where everyone would take them for merely coloured rhinestones. Then she had a replica made of the real necklace, and that, of course, was what was stolen. No wonder it never came on the market. The thief soon discovered the stones were false."
1458,mm,"If we can’t alter the movements or the position of those three people, then couldn’t we perhaps alter the time of the murder?"
1459,mm,A series of murders that took place a good many years ago?
1460,sh,"I stooped under the rude lintel, and there he sat upon a stone
     outside, his gray eyes dancing with amusement as they fell upon my
     astonished features. He was thin and worn, but clear and alert, his
     keen face bronzed by the sun and roughened by the wind. In his tweed
     suit and cloth cap he looked like any other tourist upon the moor,
     and he had contrived, with that cat-like love of personal cleanliness
     which was one of his characteristics, that his chin should be as
     smooth and his linen as perfect as if he were in Baker Street."
1461,mm,"There are, of course, all kinds of possible explanations,"
1462,hp,There passes itself something on this boat that causes me much inquietude.
1463,hp,or would you prefer to examine the study?
1464,mm,"Well, go on, Aunt Jane; haven’t you got anything to say?"
1465,sh,"I hope we may clear him, Miss Turner,"
1466,sh,"'A marriage has been arranged [it says] and will, if rumour is
     correct, very shortly take place, between Lord Robert St. Simon,
     second son of the Duke of Balmoral, and Miss Hatty Doran, the only
     daughter of Aloysius Doran. Esq., of San Francisco, Cal., U.S.A.'

     That is all."
1467,mm,"Yes, I can see I’m quite recognizable as an old pussy. There are so many old pussies, and they’re all so much alike. And, of course, yes, I’m very ordinary. An ordinary rather scatty old lady. And that of course is very good camouflage. Dear me, I wonder if I’m thinking on the right lines. I do, sometimes, know what people are like. I mean, I know what people are like, because they remind me of certain other people I have known. So I know some of their faults and some of their virtues. I know what kind of people they are. There’s that."
